date,open,high,low,prevclose,close,vwap,volume,ntrades
18-Mar-25,1044.15,1054.25,1033.7,1034.15,1045.25,1042.91,7365940,144396
17-Mar-25,1011.1,1039,1011.1,1010.2,1034.15,1026.93,5938668,176948
13-Mar-25,1015,1016,1005.1,1011.2,1010.2,1010.8,4004140,93202
12-Mar-25,1025.2,1029.8,999.2,1025.65,1011.2,1009.41,7504702,258740
11-Mar-25,1030.4,1036.8,1021.1,1035.85,1025.65,1027.51,4771085,229713
10-Mar-25,1036,1050.5,1032.35,1037.65,1035.85,1041.71,5995655,134845
07-Mar-25,1033.7,1050.35,1030.7,1034.1,1037.65,1038.93,7597321,190760
06-Mar-25,1022.6,1039.5,1015.15,1014.45,1034.1,1030.26,7861120,185457
05-Mar-25,1003,1017.4,1002.55,1001.8,1014.45,1013.22,5133873,97572
04-Mar-25,1001.1,1011.1,998.6,1007.25,1001.8,1002.62,5786420,202534
03-Mar-25,1017.05,1019.4,992,1015.55,1007.25,1004.51,6763184,251708
28-Feb-25,1014.8,1035.5,1009.95,1016.7,1015.55,1019.47,15026849,259384
27-Feb-25,1007.65,1023.55,1005.15,1009.1,1016.7,1017.46,9777690,176924
25-Feb-25,1004,1013.7,997.1,1010.05,1009.1,1006.76,5708975,123245
24-Feb-25,1001.35,1013,998.55,1008.95,1010.05,1006.25,4265454,124743
21-Feb-25,1012,1021.9,1000.65,1017.2,1008.95,1011.16,5019937,107764
20-Feb-25,1008.4,1019.65,1006.5,1011.35,1017.2,1014.84,5011212,128195
19-Feb-25,991.65,1013.45,988.15,994.15,1011.35,1008.65,6401381,136108
18-Feb-25,992.95,997.35,986.55,992.95,994.15,992.83,3090004,93392
17-Feb-25,992.45,999.65,978.05,997.5,992.95,985.88,7166803,156905
14-Feb-25,1010.55,1016,987.65,1008.2,997.5,996.14,5375755,139366
13-Feb-25,1003,1017.45,1001.05,1006.9,1008.2,1010.25,6348246,221502
12-Feb-25,1000,1010.65,984,1007.4,1006.9,1000.64,7669283,180366
11-Feb-25,1009,1016.35,1002.6,1011.75,1007.4,1008.9,4808215,108657
10-Feb-25,1021,1026.75,1006.2,1024.1,1011.75,1012.32,3960565,125235
07-Feb-25,1019.5,1027.35,1007.65,1020.7,1024.1,1020.24,8638651,190349
06-Feb-25,1012,1021.85,1010.05,1013.3,1020.7,1016.1,5815563,139771
05-Feb-25,1020.6,1022.05,1010.5,1015.3,1013.3,1015.98,7858373,256721
04-Feb-25,994,1017.1,987.8,989.4,1015.3,1009.27,16058171,297717
03-Feb-25,987.1,1000.5,983.35,998.15,989.4,989.99,7124605,201657
01-Feb-25,989.5,1004.95,982,986.1,998.15,996.41,4830391,134756
31-Jan-25,982,990,978.05,984.7,986.1,985.64,9036312,158111
30-Jan-25,984.65,991.4,974.8,983.4,984.7,984.81,10473118,187071
29-Jan-25,988,988.65,977.6,983.8,983.4,984.22,11175206,177081
28-Jan-25,960,993.85,958.2,948.1,983.8,981.75,21781371,428568
27-Jan-25,943.1,949.75,933.5,948.5,948.1,942.34,12713296,294483
24-Jan-25,948,961.8,946.1,951.05,948.5,954.12,14421921,198538
23-Jan-25,954,963.7,948,959.3,951.05,954.09,24649522,283192
22-Jan-25,975.75,975.75,954,970.2,959.3,961.5,17303146,262679
21-Jan-25,993.6,994.45,963,988.05,970.2,977.75,11894500,324518
20-Jan-25,992.05,994.2,976.5,991.05,988.05,985.81,33440507,294459
17-Jan-25,1000,1011.7,974.6,1038,991.05,989.4,33831617,529563
16-Jan-25,1033.9,1046.45,1027.05,1026.8,1038,1037.36,10261727,242732
15-Jan-25,1043,1052.9,1014.65,1051.65,1026.8,1028.21,11418721,271695
14-Jan-25,1052.95,1061,1045.5,1049.3,1051.65,1054.36,6892897,220237
13-Jan-25,1026.6,1063,1023.25,1040.7,1049.3,1050.86,7180930,200555
10-Jan-25,1056.25,1064.85,1037,1061.75,1040.7,1046.11,5612886,134739
09-Jan-25,1079.6,1080.15,1054.25,1074.95,1061.75,1063.67,9054190,219823
08-Jan-25,1063.75,1082.35,1059.1,1067.5,1074.95,1072.35,8780098,282382
07-Jan-25,1064.55,1070.5,1056,1063.4,1067.5,1066.12,4619462,145454
06-Jan-25,1087.75,1090,1059.9,1084.9,1063.4,1068.15,5283413,149267
03-Jan-25,1086,1093.5,1079.8,1086.6,1084.9,1087.72,7357220,157182
02-Jan-25,1072,1088.7,1067.5,1071.8,1086.6,1080.81,6557076,157426
01-Jan-25,1064.15,1076.95,1053.95,1064.7,1071.8,1066.41,2985355,80357
31-Dec-24,1062,1070.45,1058.5,1069.95,1064.7,1064.48,5292136,161817
30-Dec-24,1074.1,1096.5,1063.95,1077.45,1069.95,1075.16,9452155,172968
27-Dec-24,1078.1,1086.25,1076,1076.7,1077.45,1080.19,3801667,113788
26-Dec-24,1083,1092.6,1072.75,1078.9,1076.7,1078.34,4775460,119071
24-Dec-24,1077.3,1084.75,1076,1079.15,1078.9,1080.42,4343694,128592
23-Dec-24,1075.1,1083.55,1072.4,1071.85,1079.15,1078.51,3886921,132669
20-Dec-24,1103.95,1105.85,1065,1108.9,1071.85,1081.98,12623056,259785
19-Dec-24,1104.9,1119.05,1101.05,1122.25,1108.9,1109.36,11677610,225005
18-Dec-24,1136.2,1139.9,1115.95,1136.25,1122.25,1124.97,7222127,205675
17-Dec-24,1145.25,1151.85,1130,1150.9,1136.25,1138.96,7292817,170342
16-Dec-24,1146.5,1155,1141.75,1148.15,1150.9,1149.03,3975202,90921
13-Dec-24,1141,1152.7,1113.65,1145.65,1148.15,1136.01,8731618,192015
12-Dec-24,1145,1154.55,1143.6,1147.25,1145.65,1149.13,4825283,144279
11-Dec-24,1150,1158.35,1144.55,1153.65,1147.25,1152.07,7788242,185882
10-Dec-24,1157,1165.05,1151.25,1163.25,1153.65,1156.4,4714389,177982
09-Dec-24,1184.25,1186,1161,1184.55,1163.25,1170.8,6308112,191881
06-Dec-24,1167.5,1193.85,1160,1166.4,1184.55,1183.3,7542210,172308
05-Dec-24,1164,1176.9,1150.1,1159.45,1166.4,1166.2,10640451,264133
04-Dec-24,1157.5,1168,1153.9,1160.5,1159.45,1158.67,18379798,183298
03-Dec-24,1144.4,1164.9,1138,1137.1,1160.5,1156.52,8382042,206150
02-Dec-24,1132.7,1141.4,1126.6,1136.3,1137.1,1133.73,4785858,125708
29-Nov-24,1133.55,1140.9,1127.7,1132.5,1136.3,1135.67,6406277,133772
28-Nov-24,1148.5,1154.45,1129.4,1149.65,1132.5,1139.36,10731275,211822
27-Nov-24,1145.2,1155.45,1133.55,1144.8,1149.65,1146.57,5989943,152024
26-Nov-24,1157.1,1159.6,1142.65,1155.9,1144.8,1147.29,5127437,150905
25-Nov-24,1160,1164.5,1142,1142.4,1155.9,1155.03,12385823,182859
22-Nov-24,1136.65,1147.9,1127.55,1139.15,1142.4,1135.51,16687505,193290
21-Nov-24,1138,1152,1115.75,1133.95,1139.15,1136.7,8126248,231458
19-Nov-24,1130,1139,1122.05,1126.2,1133.95,1129.17,19225966,182241
18-Nov-24,1131.2,1135,1121.55,1140.7,1126.2,1126.29,9474971,296779
14-Nov-24,1137.55,1150.75,1131.6,1139.15,1140.7,1140.75,5975873,198141
13-Nov-24,1151.9,1165.5,1135.1,1158.15,1139.15,1146.87,8079113,194201
12-Nov-24,1171.65,1187,1153.8,1171,1158.15,1167.09,9606088,185151
11-Nov-24,1152,1176.8,1142.95,1160.95,1171,1164.66,6620678,170071
08-Nov-24,1156,1167.75,1151.1,1159.9,1160.95,1160.41,3786168,128235
07-Nov-24,1168.6,1172.9,1151.05,1166.5,1159.9,1158.93,6252889,115427
06-Nov-24,1171.8,1183.55,1161.45,1171.7,1166.5,1171.86,10353506,199551
05-Nov-24,1138.95,1174.9,1133.45,1139.25,1171.7,1155,11701049,200551
04-Nov-24,1172,1176.95,1135.45,1169.55,1139.25,1145.67,9288653,203455
01-Nov-24,1164.05,1172.5,1164,1159.55,1169.55,1170.07,460781,16890
31-Oct-24,1165.5,1178,1153.85,1170.4,1159.55,1163.31,8682294,191979
30-Oct-24,1178.75,1187.65,1164.3,1186.85,1170.4,1171.69,9686560,186687
